Question,Answer,Tags
2.3.52,160,gatecse-2019  numerical-answers  co-and-architecture  cache-memory  2-marks
2.3.54,B,gatecse-2020  co-and-architecture  cache-memory  2-marks
2.3.56,2 : 2,gatecse-2021-set2  numerical-answers  co-and-architecture  cache-memory  1-mark
2.3.57,A,gatecse-2021-set2  co-and-architecture  cache-memory  2-marks
2.3.58,A;B;D,gatecse-2022  co-and-architecture  cache-memory  multiple-selects  1-mark
2.3.59,0.85,gatecse-2022  numerical-answers  co-and-architecture  cache-memory  1-mark
2.3.60,A;B;D,gatecse-2022  co-and-architecture  direct-mapping  multiple-selects  2-marks  cache-memory
2.3.61,19,gatecse-2023  co-and-architecture  cache-memory  numerical-answers  2-marks
2.3.62,B;C,gatecse2024-set1  co-and-architecture  cache-memory  multiple-selects
2.3.63,3,gatecse2024-set1  numerical-answers  co-and-architecture  cache-memory
2.3.64,C,gateit-2004  co-and-architecture  cache-memory  normal  isro2016
2.3.65,B,gateit-2004  co-and-architecture  cache-memory  normal
2.3.66,C,gateit-2005  co-and-architecture  cache-memory  normal
2.3.67,C,gateit-2006  co-and-architecture  cache-memory  normal
2.3.68,A,gateit-2006  co-and-architecture  cache-memory  normal
2.3.69,B,gateit-2007  co-and-architecture  cache-memory  normal
2.3.70,D,gateit-2008  co-and-architecture  cache-memory  normal
2.3.71,A,gateit-2008  co-and-architecture  cache-memory  normal
2.4.1,D,gatecse-2004  dma  normal  co-and-architecture
2.4.2,B,gatecse-2005  co-and-architecture  disk  normal  dma
2.4.3,A,gatecse-2011  co-and-architecture  dma  normal
2.4.4,456,gatecse-2016-set1  co-and-architecture  dma  normal  numerical-answers
2.4.6,A,gatecse-2022  co-and-architecture  dma  1-mark
2.4.7,C,gatecse2024-set1  co-and-architecture  dma
2.4.8,C,gatecse2024-set2  co-and-architecture  dma
2.4.9,C,gateit-2004  co-and-architecture  dma  normal
2.5.1,B,gatecse-2015-set3  co-and-architecture  pipelining  data-dependency  normal
2.5.2,B,gateit-2007  data-dependency  co-and-architecture
2.6.1,N/A,gate1990  descriptive  co-and-architecture  data-path
2.6.2,D,gatecse-2001  co-and-architecture  data-path  machine-instruction  normal
2.6.3,B,gatecse-2005  co-and-architecture  machine-instruction  data-path  normal
2.6.4,B,co-and-architecture  normal  gatecse-2005  data-path  machine-instruction
2.6.5,28,gatecse-2016-set2  co-and-architecture  data-path  normal  numerical-answers
2.6.6,C,gatecse-2020  co-and-architecture  data-path  1-mark
2.7.4,A,gate1996  co-and-architecture  io-handling  normal
2.7.5,1.4 : 1.5,gate1996  co-and-architecture  io-handling  dma  numerical-answers  normal
2.7.6,B,gate1997  co-and-architecture  normal  io-handling  match-the-following
2.7.7,B,gatecse-2008  operating-system  io-handling  normal  isro2009
2.8.2,N/A,gate1992  co-and-architecture  easy  instruction-execution  fill-in-the-blanks
2.8.3,C,gate1995  co-and-architecture  normal  instruction-execution
2.8.4,C,gatecse-2002  co-and-architecture  easy  instruction-execution
2.8.5,A,gatecse-2006  co-and-architecture  normal  instruction-execution
2.8.6,-16.0,gatecse-2017-set1  co-and-architecture  normal  numerical-answers  instruction-execution
2.9.1,N/A,gate1988  normal  co-and-architecture  instruction-format  descriptive
2.9.2,256,gate1992  co-and-architecture  machine-instruction  instruction-format  normal  numerical-answers
2.9.4,16383,gatecse-2014-set1  co-and-architecture  machine-instruction  instruction-format  numerical-answers  normal
2.9.5,500,gatecse-2016-set2  instruction-format  machine-instruction  co-and-architecture  normal  numerical-answers
2.9.6,32,gatecse-2018  co-and-architecture  machine-instruction  instruction-format  numerical-answers  2-marks
2.9.7,14,gatecse-2020  co-and-architecture  numerical-answers  instruction-format  machine-instruction  2-marks
2.9.8,32,gatecse2024-set2  numerical-answers  co-and-architecture  instruction-format
2.9.9,34,gatecse2024-set2  numerical-answers  co-and-architecture  instruction-format
2.10.1,D,gate1987  co-and-architecture  interrupts
2.10.2,B,gate1995  co-and-architecture  interrupts  normal
2.10.3,A,gate1998  co-and-architecture  interrupts  normal
2.10.4,A,gatecse-2002  co-and-architecture  interrupts  normal
2.10.5,B,gatecse-2005  co-and-architecture  interrupts
2.10.6,C,gatecse-2009  co-and-architecture  interrupts  normal  ugcnetcse-june2012-paper3
2.10.7,C,gatecse-2020  co-and-architecture  interrupts  1-mark
2.10.8,10.2,gatecse-2023  co-and-architecture  interrupts  numerical-answers  1-mark
2.11.1,N/A,gate1988  normal  descriptive  co-and-architecture  machine-instruction
2.11.2,N/A,
2.11.3,N/A,gate1999  co-and-architecture  machine-instruction  normal  descriptive
2.11.4,B,gatecse-2003  co-and-architecture  machine-instruction  normal
2.11.5,A,gatecse-2003  co-and-architecture  machine-instruction  normal
2.11.6,D,gatecse-2004  co-and-architecture  machine-instruction  normal
2.11.7,B,gatecse-2004  co-and-architecture  machine-instruction  normal
2.11.8,C,gatecse-2006  co-and-architecture  machine-instruction  easy  isro2009
2.11.9,B,gatecse-2007  co-and-architecture  machine-instruction  normal
2.11.10,D,gatecse-2007  co-and-architecture  machine-instruction  interrupts  normal
2.11.11,A,gatecse-2007  co-and-architecture  machine-instruction  interrupts  normal
2.11.12,C,gatecse-2007  co-and-architecture  machine-instruction  interrupts  normal
2.11.13,D,gatecse-2008  co-and-architecture  machine-instruction  normal
2.11.14,D,gatecse-2015-set2  co-and-architecture  machine-instruction  easy
2.11.15,16,gatecse-2016-set2  machine-instruction  co-and-architecture  easy  numerical-answers
2.11.16,50 : 50,gatecse-2021-set1  co-and-architecture  machine-instruction  numerical-answers  2-marks
2.11.17,B,gatecse-2023  co-and-architecture  machine-instruction  2-marks
2.11.18,D,gateit-2004  co-and-architecture  machine-instruction  easy
2.11.19,C,gateit-2007  co-and-architecture  machine-instruction  normal
2.11.20,A,gateit-2008  co-and-architecture  machine-instruction  normal
2.12.1,N/A,gate1991  co-and-architecture  normal  memory-interfacing  descriptive
2.12.2,D,gatecse-2006  co-and-architecture  cache-memory  memory-interfacing  normal
2.12.3,31,gatecse-2016-set1  co-and-architecture  easy  numerical-answers  memory-interfacing
2.12.4,59 : 60,gatecse-2018  co-and-architecture  memory-interfacing  normal  numerical-answers  1-mark
2.12.5,A,gatecse-2019  co-and-architecture  dram  memory-interfacing  1-mark
2.12.6,C,gatecse-2023  co-and-architecture  memory-interfacing  2-marks
2.13.1,B,gate1987  co-and-architecture  control-unit  microprogramming
2.13.2,N/A,gate1987  co-and-architecture  microprogramming  descriptive
2.13.3,C,gate1996  co-and-architecture  microprogramming  normal
2.13.4,C,gate1997  co-and-architecture  microprogramming  normal
2.13.5,B,gate1999  co-and-architecture  microprogramming  normal
2.13.6,D,gatecse-2002  co-and-architecture  microprogramming
2.13.7,A,gatecse-2004  co-and-architecture  microprogramming  normal
2.13.8,D,gatecse-2013  co-and-architecture  microprogramming  normal
2.13.9,A,gateit-2004  co-and-architecture  microprogramming  normal
2.13.10,D,gateit-2005  co-and-architecture  microprogramming  normal
2.13.11,B,gateit-2005  co-and-architecture  microprogramming  normal
2.13.12,D,gateit-2006  co-and-architecture  microprogramming  normal
2.13.13,D,gateit-2008  co-and-architecture  microprogramming  normal
2.14.1,15,gate1999  co-and-architecture  pipelining  normal  numerical-answers
2.14.2,B,gatecse-2000  pipelining  co-and-architecture  easy
2.14.3,N/A,gatecse-2000  co-and-architecture  pipelining  normal  descriptive
2.14.4,N/A,gatecse-2001  co-and-architecture  pipelining  normal  descriptive
2.14.5,D,gatecse-2002  co-and-architecture  pipelining  easy  isro2008
2.14.6,D,gatecse-2003  co-and-architecture  pipelining  normal  isrodec2017
2.14.7,C,gatecse-2004  co-and-architecture  pipelining  normal
2.14.8,A,gatecse-2005  co-and-architecture  pipelining  normal
2.14.9,C,gatecse-2006  co-and-architecture  pipelining  normal
2.14.10,B,gatecse-2007  co-and-architecture  pipelining  normal  isro2009
2.14.11,B,gatecse-2008  pipelining  co-and-architecture  normal
2.14.12,A,gatecse-2008  co-and-architecture  pipelining  normal
2.14.13,D,gatecse-2008  co-and-architecture  pipelining  normal
2.14.14,B,gatecse-2009  co-and-architecture  pipelining  normal
2.14.15,B,gatecse-2010  co-and-architecture  pipelining  normal
2.14.16,B,gatecse-2011  co-and-architecture  pipelining  normal
2.14.17,C,gatecse-2012  co-and-architecture  pipelining  easy  isro2016
2.14.18,B,gatecse-2013  normal  co-and-architecture  pipelining
2.14.19,4,gatecse-2014-set1  co-and-architecture  pipelining  numerical-answers  normal
2.14.21,C,gatecse-2014-set3  co-and-architecture  pipelining  normal
2.14.22,3.2,
2.14.23,13,gatecse-2015-set2  co-and-architecture  pipelining  normal  numerical-answers
2.14.24,3,gatecse-2015-set3  co-and-architecture  pipelining  difficult  numerical-answers
2.14.26,4,gatecse-2016-set2  co-and-architecture  pipelining  normal  numerical-answers
2.14.28,219,gatecse-2018  co-and-architecture  pipelining  numerical-answers  2-marks
2.14.31,1.87 : 1.88,gatecse-2021-set2  co-and-architecture  pipelining  numerical-answers  2-marks
2.14.33,2040,gatecse-2023  co-and-architecture  pipelining  numerical-answers  1-mark
2.14.34,A;B;C,gatecse2024-set1  multiple-selects  co-and-architecture  pipelining
2.14.35,A,gatecse2024-set2  co-and-architecture  multiple-selects  pipelining
2.14.36,3,gatecse2024-set2  numerical-answers  co-and-architecture  pipelining
2.14.37,C,gateit-2004  co-and-architecture  pipelining  normal
2.14.38,B,
2.14.39,C,gateit-2006  co-and-architecture  pipelining  normal
2.14.40,B,gateit-2006  co-and-architecture  pipelining  normal
2.14.41,B,gateit-2007  co-and-architecture  pipelining  normal  isro2011
2.14.42,C,gateit-2008  co-and-architecture  pipelining  normal
2.15.1,X,gatecse-2001  co-and-architecture  normal  ugcnetcse-dec2012-paper3  runtime-environment
2.15.2,A,gatecse-2008  co-and-architecture  normal  isro2009  runtime-environment
2.16.1,1.6,gatecse-2014-set1  co-and-architecture  numerical-answers  normal  speedup
2.16.2,3,gatecse2024-set1  numerical-answers  co-and-architecture  speedup
2.16.3,A,gateit-2004  normal  co-and-architecture  speedup
2.16.4,B,gateit-2007  co-and-architecture  normal  speedup
2.17.1,A;B,gate1991  co-and-architecture  virtual-memory  normal  multiple-selects
2.17.2,D,gatecse-2004  co-and-architecture  virtual-memory  normal
2.17.3,C,
3.1.1,N/A,gate1992  compiler-design  assembler  normal  fill-in-the-blanks
3.1.3,N/A,gate1992  compiler-design  assembler  normal  descriptive
3.1.4,A;B;C,gate1993  compiler-design  assembler  easy  multiple-selects
3.1.6,N/A,gate1994  compiler-design  normal  assembler  true-false  descriptive
3.1.9,B,gate1996  compiler-design  normal  assembler
3.2.1,A,gatecse-2006  compiler-design  normal  code-optimization
3.2.2,D,gatecse-2006  compiler-design  code-optimization
3.2.3,A,gatecse-2008  normal  code-optimization  compiler-design
3.2.4,D,gatecse-2014-set1  compiler-design  code-optimization  normal
3.2.5,7,gatecse-2014-set3  compiler-design  numerical-answers  normal  code-optimization
3.2.6,A,gatecse-2014-set3  compiler-design  code-optimization  directed-acyclic-graph  normal
3.2.7,C,gatecse-2015-set2  compiler-design  easy  abstract-syntax-tree  code-optimization
3.2.8,6 : 6,gatecse-2021-set1  compiler-design  code-optimization  directed-acyclic-graph  numerical-answers  2-marks
3.2.9,D,gatecse-2021-set2  code-optimization  compiler-design  2-marks
3.3.1,C,gate1987  compiler-design  compilation-phases
3.3.2,N/A,gate1990  match-the-following  compiler-design  compilation-phases
3.3.3,A,gatecse-2005  compiler-design  compilation-phases  normal
3.3.4,B,gatecse-2009  compiler-design  easy  compilation-phases
3.3.5,C,gatecse-2015-set2  compiler-design  normal  compilation-phases  match-the-following
3.3.6,B,gatecse-2016-set2  compiler-design  easy  match-the-following  compilation-phases
3.3.7,C,
3.3.8,B,gatecse-2018  compiler-design  easy  compilation-phases  1-mark
3.3.9,D,gatecse-2020  compiler-design  compilation-phases  runtime-environment  1-mark
3.3.10,C,gatecse-2021-set2  compilation-phases  compiler-design  1-mark
3.3.11,B,gatecse-2023  compiler-design  compilation-phases  1-mark
3.3.12,B,gatecse2024-set2  compiler-design  compilation-phases  match-the-following
3.4.1,A,gatecse-2002  compiler-design  expression-evaluation  easy
3.4.2,6,gatecse-2014-set2  compiler-design  normal  expression-evaluation  numerical-answers
3.5.1,A;B,gate1992  parsing  compiler-design  normal  multiple-selects  first-and-follow
3.5.2,A,gatecse-2012  compiler-design  parsing  normal  first-and-follow
3.5.3,C,gatecse-2017-set1  compiler-design  parsing  easy  first-and-follow
3.5.4,31,gatecse-2019  numerical-answers  compiler-design  parsing  1-mark  first-and-follow
3.5.5,A,gatecse2024-set1  compiler-design  first-and-follow
3.6.1,N/A,gate1988  compiler-design  descriptive  grammar  parsing
3.6.2,N/A,gate1988  compiler-design  descriptive  grammar  parsing
3.6.3,N/A,gate1990  descriptive  compiler-design  grammar
3.6.4,N/A,gate1991  grammar  compiler-design  normal  descriptive
3.6.5,N/A,gate1991  grammar  compiler-design  normal  descriptive
3.6.6,N/A,gate1991  grammar  compiler-design  normal  descriptive
3.6.7,C,gate1992  compiler-design  easy  grammar
3.6.8,C,gate1994  compiler-design  grammar  normal
3.6.9,N/A,gate1994  compiler-design  grammar  normal  descriptive
3.6.10,N/A,gate1994  compiler-design  grammar  normal  match-the-following
3.6.11,X,gate1995  compiler-design  grammar  normal
3.6.12,N/A,gate1995  compiler-design  grammar  normal  descriptive
3.6.13,N/A,gate1996  compiler-design  grammar  normal  descriptive
3.6.14,D,gate1996  compiler-design  grammar  normal
3.6.15,A,gate1997  compiler-design  grammar  normal
3.6.16,N/A,gate1997  compiler-design  grammar  normal  theory-of-computation  descriptive
3.6.17,N/A,gate1998  compiler-design  grammar  descriptive
3.6.18,N/A,gate1998  compiler-design  grammar  descriptive
3.6.19,C,gate1999  compiler-design  grammar  normal
3.6.20,A,gatecse-2001  compiler-design  grammar  normal
3.6.21,N/A,gatecse-2001  compiler-design  grammar  descriptive
3.6.22,D,gatecse-2003  compiler-design  grammar  normal  parsing
3.6.23,A,gatecse-2003  compiler-design  grammar  parsing  normal
3.6.24,B,gatecse-2003  compiler-design  grammar  normal
3.6.25,C,gatecse-2004  compiler-design  grammar  normal
3.6.26,B,gatecse-2004  compiler-design  grammar  normal
3.6.27,C,gatecse-2004  compiler-design  grammar  normal
3.6.28,A,gatecse-2005  compiler-design  parsing  grammar  easy
3.6.29,D,gatecse-2005  compiler-design  grammar  normal
3.6.30,B,gatecse-2006  compiler-design  grammar  normal  isro2016
3.6.31,D,gatecse-2006  compiler-design  grammar  normal
3.6.32,D,gatecse-2006  compiler-design  grammar  normal  theory-of-computation
3.6.33,A,gatecse-2006  compiler-design  grammar  normal
3.6.34,C,gatecse-2007  compiler-design  grammar  normal
3.6.35,C,gatecse-2007  compiler-design  grammar  normal
3.6.36,C,gatecse-2007  compiler-design  grammar  normal
3.6.37,B,gatecse-2007  compiler-design  grammar  normal
3.6.38,C,gatecse-2008  normal  compiler-design  grammar
3.6.39,C,gatecse-2010  compiler-design  grammar  normal
3.6.40,B,gatecse-2014-set2  compiler-design  grammar  normal
3.6.41,B,gatecse-2016-set2  compiler-design  grammar  easy
3.6.42,A,gatecse-2016-set2  compiler-design  grammar  normal
3.6.43,C,gatecse-2017-set2  grammar
3.6.44,5,gatecse-2019  numerical-answers  compiler-design  grammar  2-marks
3.6.45,A,gatecse-2021-set1  compiler-design  grammar  2-marks
3.6.46,179,gatecse2024-set1  numerical-answers  compiler-design  grammar
3.6.47,B;C,gatecse2024-set2  compiler-design  multiple-selects  grammar
3.6.48,A,gateit-2005  compiler-design  grammar  parsing  easy
3.6.49,C,gateit-2007  compiler-design  grammar  normal
3.6.50,D,gateit-2008  parsing  normal  grammar
3.7.1,N/A,gate1988  descriptive  compiler-design  intermediate-code
3.7.2,N/A,descriptive  gate1989  compiler-design  intermediate-code
3.7.3,N/A,gate1992  compiler-design  syntax-directed-translation  intermediate-code  descriptive
3.7.4,C,gate1994  compiler-design  intermediate-code  easy
3.7.5,A,gatecse-2014-set2  compiler-design  intermediate-code  programming-in-c  normal
3.7.6,C,gatecse-2014-set3  compiler-design  intermediate-code  easy
3.7.7,A,gatecse-2015-set1  compiler-design  intermediate-code  normal
3.7.8,B,gatecse-2015-set2  compiler-design  intermediate-code  normal
3.7.9,D,gatecse-2021-set2  multiple-selects  compiler-design  intermediate-code  1-mark
3.7.10,D,gatecse2024-set1  compiler-design  intermediate-code
3.7.11,A,gatecse2024-set2  compiler-design  intermediate-code
3.8.1,B;C;D,gate1992  compiler-design  normal  parsing  multiple-selects  lr-parser
3.8.2,C,gate1998  compiler-design  parsing  normal  lr-parser
3.8.3,B,gatecse-2003  compiler-design  parsing  easy  lr-parser
3.8.4,B,gatecse-2005  compiler-design  parsing  normal  lr-parser
3.8.5,D,gatecse-2006  compiler-design  parsing  normal  lr-parser
3.8.6,B,
3.8.7,D,gatecse-2013  compiler-design  parsing  normal  lr-parser
3.8.8,B,gatecse-2013  compiler-design  parsing  normal  lr-parser
3.8.9,D,gatecse-2014-set1  compiler-design  parsing  normal  lr-parser
3.8.10,C,gatecse-2015-set1  compiler-design  parsing  normal  viable-prefix  lr-parser
3.8.11,C,gatecse-2015-set3  compiler-design  parsing  normal  lr-parser
3.8.12,A,gatecse-2017-set2  compiler-design  parsing  lr-parser
3.8.13,D,gatecse-2019  compiler-design  parsing  1-mark  lr-parser
3.8.14,7,gatecse-2020  numerical-answers  compiler-design  lr-parser  1-mark
3.8.15,C,gatecse-2021-set1  compiler-design  lr-parser  1-mark
3.8.16,8 : 8,gatecse-2021-set2  compiler-design  lr-parser  numerical-answers  2-marks
3.8.17,5,gatecse-2022  numerical-answers  compiler-design  parsing  lr-parser  1-mark
3.8.18,D,gatecse-2022  compiler-design  parsing  1-mark  lr-parser
3.8.19,9,
3.9.1,A,gate1987  compiler-design  lexical-analysis
3.9.2,C,gatecse-2000  compiler-design  lexical-analysis  easy  isro2015
3.9.3,B,gatecse-2010  compiler-design  lexical-analysis  easy
3.9.4,C,gatecse-2011  compiler-design  lexical-analysis  easy
3.9.5,A,gatecse-2011  compiler-design  lexical-analysis  easy
3.9.6,D,gatecse-2018  compiler-design  lexical-analysis  normal  2-marks
3.10.1,B,gate1991  compiler-design  normal  linker  multiple-selects
3.10.2,C,gatecse-2003  compiler-design  runtime-environment  linker  easy
3.10.3,C,gatecse-2004  compiler-design  easy  linker
3.11.1,C,gatecse-2015-set1  compiler-design  live-variable-analysis  normal
3.11.2,A,gatecse-2021-set2  code-optimization  live-variable-analysis  compiler-design  2-marks
3.11.3,D,gatecse-2023  compiler-design  live-variable-analysis  2-marks
3.12.1,N/A,gate1992  compiler-design  macros  easy  fill-in-the-blanks
3.12.2,D,gate1995  compiler-design  macros  easy
3.12.3,A,gate1996  compiler-design  macros  normal
3.12.4,D,gate1997  compiler-design  macros  easy
3.13.1,B,gatecse-2000  operator-precedence  normal  compiler-design  isro2015
3.13.2,9,gatecse-2016-set1  compiler-design  parsing  normal  numerical-answers  operator-precedence
3.13.3,6,gatecse2024-set1  numerical-answers  compiler-design  operator-precedence
3.14.1,10,gate1988  descriptive  compiler-design  runtime-environment  parameter-passing  numerical-answers
3.14.2,N/A,gate1988  descriptive  compiler-design  runtime-environment  parameter-passing
3.14.3,A;D,gate1989  parameter-passing  runtime-environment  compiler-design  multiple-selects
3.14.4,N/A,gate1990  descriptive  compiler-design  runtime-environment  parameter-passing
3.14.5,A;D,gate1991  compiler-design  parameter-passing  difficult  multiple-selects
3.14.6,N/A,gate1991  compiler-design  parameter-passing  normal  runtime-environment  descriptive
3.14.7,N/A,gate1991  runtime-environment  normal  compiler-design  parameter-passing  descriptive
3.14.8,N/A,gate1993  compiler-design  parameter-passing  runtime-environment  normal  descriptive
3.14.9,A,gate1995  compiler-design  parameter-passing  runtime-environment  easy
3.14.10,N/A,gate1999  parameter-passing  normal  runtime-environment  descriptive
3.14.11,X,gatecse-2003  programming  compiler-design  parameter-passing  runtime-environment  normal
3.14.12,D,gatecse-2004  compiler-design  programming-in-c  parameter-passing  easy  isro2017  runtime-environment
3.14.13,D,gatecse-2016-set1  parameter-passing  normal
3.14.14,D,gateit-2007  programming  parameter-passing  normal  compiler-design  runtime-environment
3.15.1,B,gate1987  compiler-design  parsing  ambiguous-grammar
3.15.2,A,gate1987  compiler-design  parsing
3.15.3,N/A,gate1989  descriptive  compiler-design  parsing
3.15.4,N/A,gate1993  compiler-design  parsing  normal  descriptive
3.15.5,N/A,gate1995  compiler-design  parsing  normal  descriptive
3.15.6,C,gate1998  compiler-design  parsing  easy
3.15.7,N/A,gate1998  compiler-design  parsing  descriptive
3.15.8,B,gate1999  compiler-design  parsing  easy
3.15.9,A,gatecse-2000  compiler-design  parsing  normal  ugcnetcse-dec2013-paper2
3.15.10,N/A,gatecse-2001  compiler-design  parsing  normal  descriptive
3.15.11,N/A,gatecse-2002  compiler-design  parsing  normal  descriptive
3.15.12,D,gatecse-2003  compiler-design  parsing  easy
3.15.13,C,gatecse-2005  compiler-design  parsing  difficult
3.15.14,B,gatecse-2005  compiler-design  parsing  normal
3.15.15,A,gatecse-2006  compiler-design  parsing  normal
3.15.16,A,gatecse-2007  compiler-design  parsing  normal
3.15.17,D,gatecse-2008  compiler-design  parsing  normal
3.15.18,B,gatecse-2009  compiler-design  parsing  normal
3.15.19,B,gatecse-2011  compiler-design  parsing  normal
3.15.20,C,normal  gatecse-2012  compiler-design  parsing
3.15.21,D,gatecse-2015-set3  compiler-design  parsing  normal
3.15.22,1024,gatecse-2017-set1  compiler-design  parsing  normal  numerical-answers
3.15.23,A,gatecse-2018  compiler-design  parsing  normal  2-marks
3.15.24,A;D,gatecse2024-set1  multiple-selects  compiler-design  parsing
3.15.25,A,gatecse2024-set2  compiler-design  ll-parser  parsing
3.15.26,A,gateit-2005  compiler-design  parsing  normal
3.15.27,A,gateit-2008  compiler-design  parsing  normal
3.16.1,A,gate1997  compiler-design  register-allocation  normal
3.16.2,B,gatecse-2004  compiler-design  register-allocation  normal
3.16.3,B,gatecse-2010  compiler-design  register-allocation  normal
3.16.4,D,gatecse-2011  compiler-design  register-allocation  normal
3.16.5,B,gatecse-2013  normal  compiler-design  register-allocation
3.16.6,2,gatecse-2017-set1  compiler-design  register-allocation  normal  numerical-answers
3.17.1,N/A,gate1988  normal  descriptive  runtime-environment  compiler-design
3.17.2,N/A,gate1989  descriptive  compiler-design  runtime-environment
3.17.3,N/A,gate1989  descriptive  compiler-design  runtime-environment
3.17.4,N/A,gate1990  match-the-following  compiler-design  runtime-environment  recursion
3.17.6,D,gate1993  compiler-design  runtime-environment  easy
3.17.7,C,gate1995  compiler-design  runtime-environment  normal
3.17.8,D,gate1996  compiler-design  easy  runtime-environment
3.17.9,B,gate1997  compiler-design  easy  runtime-environment
3.17.10,C,gate1997  compiler-design  easy  runtime-environment
3.17.11,C,gate1998  compiler-design  runtime-environment  normal  isro2008
3.17.12,B,gate1998  compiler-design  runtime-environment  normal
3.17.13,C,gate1998  programming  compiler-design  normal  runtime-environment
3.17.14,C,gatecse-2001  compiler-design  runtime-environment  easy
3.17.15,B,gatecse-2002  compiler-design  runtime-environment  easy
3.17.16,A,gatecse-2008  compiler-design  difficult  runtime-environment
3.17.17,C,gatecse-2010  compiler-design  easy  runtime-environment
3.17.18,D,gatecse-2012  compiler-design  runtime-environment  normal
3.17.19,A,gatecse-2014-set2  compiler-design  easy  runtime-environment
3.17.20,D,gatecse-2014-set3  compiler-design  runtime-environment  normal
3.17.21,C,gatecse-2021-set1  runtime-environment  normal  1-mark
3.17.22,A,gatecse-2023  compiler-design  runtime-environment  2-marks
3.18.1,8,gatecse-2015-set1  compiler-design  intermediate-code  normal  numerical-answers  static-single-assignment
3.18.2,10,gatecse-2016-set1  compiler-design  static-single-assignment  normal  numerical-answers
3.18.3,B,gatecse-2017-set1  compiler-design  intermediate-code  normal  static-single-assignment
3.19.1,N/A,gate1992  compiler-design  syntax-directed-translation  normal  descriptive
3.19.2,A,gate1995  compiler-design  grammar  syntax-directed-translation  normal
3.19.3,N/A,gate1996  compiler-design  syntax-directed-translation  normal  descriptive
3.19.4,N/A,gate1998  compiler-design  syntax-directed-translation  normal  descriptive
3.19.5,N/A,gatecse-2000  compiler-design  syntax-directed-translation  normal  descriptive
3.19.6,N/A,gatecse-2001  compiler-design  syntax-directed-translation  normal  descriptive
3.19.7,B,gatecse-2003  compiler-design  syntax-directed-translation  normal
3.19.8,B,gatecse-2003  compiler-design  syntax-directed-translation  normal
3.19.9,C,gatecse-2016-set1  compiler-design  syntax-directed-translation  normal
3.19.10,A,gatecse-2019  compiler-design  syntax-directed-translation  2-marks
3.19.11,B,gatecse-2020  compiler-design  syntax-directed-translation  2-marks
3.19.12,B,gatecse-2021-set1  compiler-design  syntax-directed-translation  2-marks
3.19.13,80,gatecse-2022  numerical-answers  compiler-design  syntax-directed-translation  2-marks
3.19.14,2.375,gatecse-2023  compiler-design  syntax-directed-translation  numerical-answers  2-marks
3.19.15,A,gatecse2024-set1  compiler-design  syntax-directed-translation
3.19.16,B;D,gatecse2024-set2  compiler-design  syntax-directed-translation  multiple-selects
3.20.1,A,gate1987  compiler-design  variable-scope  runtime-environment
3.20.2,B,gate1987  compiler-design  variable-scope  runtime-environment
4.0.1,6,gatecse2024-set1  numerical-answers  computer-networks
4.1.1,A,gatecse-2008  easy  computer-networks  application-layer-protocols  isro2016
4.1.2,C,gatecse-2011  computer-networks  application-layer-protocols  easy
4.1.3,C,gatecse-2012  computer-networks  application-layer-protocols  easy
4.1.4,C,gatecse-2016-set1  computer-networks  application-layer-protocols  normal
4.1.5,B,gatecse-2019  computer-networks  application-layer-protocols  1-mark
4.1.6,6,gatecse-2020  numerical-answers  computer-networks  application-layer-protocols  1-mark
4.1.7,4,gatecse-2022  numerical-answers  computer-networks  1-mark  application-layer-protocols
4.1.8,B,gateit-2005  computer-networks  application-layer-protocols  normal
4.1.9,A,gateit-2005  computer-networks  icmp  application-layer-protocols  normal
4.1.10,C,gateit-2005  computer-networks  normal  application-layer-protocols
4.1.11,D,gateit-2006  computer-networks  application-layer-protocols  normal
4.1.12,C,gateit-2008  computer-networks  normal  application-layer-protocols
4.2.1,B,gatecse-2014-set3  computer-networks  error-detection  bit-stuffing
4.2.2,D,gateit-2004  computer-networks  network-flow  normal  bit-stuffing
4.3.1,B,gatecse-2004  computer-networks  bridges  normal
4.3.2,A,gatecse-2006  computer-networks  bridges  normal
4.3.3,A,
4.4.1,B,gatecse-2007  computer-networks  error-detection  crc-polynomial  normal  isro2016
4.4.2,C,gatecse-2017-set1  computer-networks  crc-polynomial  normal
4.4.3,C,gatecse-2021-set2  computer-networks  crc-polynomial  2-marks
4.4.4,A,gateit-2005  computer-networks  crc-polynomial  normal
4.5.1,D,gatecse-2015-set3  computer-networks  congestion-control  csma-cd  normal
4.5.2,200,gatecse-2016-set2  computer-networks  csma-cd  numerical-answers  normal
4.5.3,C,gateit-2005  computer-networks  congestion-control  csma-cd  normal
4.5.4,A,gateit-2005  computer-networks  congestion-control  csma-cd  normal
4.5.5,B,gateit-2008  computer-networks  csma-cd  normal
4.6.1,A,gatecse-2012  computer-networks  communication  normal
4.6.2,7.07:7.09,
4.6.3,B,gateit-2007  computer-networks  communication  normal
4.6.4,B,gateit-2007  computer-networks  communication  normal
4.7.1,D,gatecse-2008  computer-networks  congestion-control  normal
4.7.2,C,gatecse-2012  computer-networks  congestion-control  normal
4.7.3,1100 : 1300,gatecse-2014-set1  computer-networks  tcp  congestion-control  numerical-answers  normal
4.7.4,0.4404,gatecse-2015-set1  computer-networks  normal  numerical-answers  congestion-control
4.7.5,C,gatecse-2018  computer-networks  tcp  congestion-control  normal  1-mark
4.7.6,50,gatecse-2018  computer-networks  congestion-control  numerical-answers  2-marks
